epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.672,2.17272,4.25976,1.23025,0.26222,0.07475,0.06676,0.03886,2.11377,3.45724,1.09983,0.000194923,0.000194923,0.000194923
2,428.82,2.22654,3.43131,1.12948,0.63754,0.11702,0.09155,0.05048,2.04596,2.71944,1.07472,0.000388712,0.000388712,0.000388712
3,496.777,2.13212,2.81456,1.12094,0.57143,0.11842,0.10027,0.05682,2.01265,2.28651,1.07843,0.000580282,0.000580282,0.000580282
4,558.587,2.11331,2.42193,1.0995,0.43529,0.18416,0.13313,0.07838,1.94474,2.01667,1.07286,0.000578021,0.000578021,0.000578021
5,629.904,2.05858,2.24096,1.08472,0.46557,0.21115,0.16212,0.09816,1.93968,1.93747,1.06538,0.000574694,0.000574694,0.000574694
6,701.753,2.00777,2.11599,1.08277,0.4786,0.21105,0.17598,0.10647,1.85268,1.8087,1.05659,0.000571368,0.000571368,0.000571368
7,758.653,1.97317,2.05926,1.07189,0.33993,0.268,0.20022,0.12433,1.83377,1.73913,1.04678,0.000568042,0.000568042,0.000568042
8,863.88,1.96596,1.98564,1.07716,0.38539,0.26655,0.22038,0.13225,1.91084,1.7682,1.05088,0.000564715,0.000564715,0.000564715
9,971.592,1.89729,1.90652,1.05661,0.42242,0.2658,0.24836,0.15993,1.82052,1.67896,1.0378,0.000561389,0.000561389,0.000561389
10,1034.06,1.91422,1.91317,1.06665,0.592,0.30869,0.27605,0.1785,1.78466,1.66916,1.02679,0.000558062,0.000558062,0.000558062
11,1090.53,1.91599,1.85579,1.06272,0.43855,0.29482,0.27121,0.17091,1.85847,1.63962,1.03753,0.000554736,0.000554736,0.000554736
12,1357.63,1.87954,1.81377,1.05382,0.53865,0.32929,0.30707,0.19499,1.78519,1.58864,1.0265,0.00055141,0.00055141,0.00055141
13,1427.75,1.83149,1.75298,1.04173,0.5696,0.32136,0.32371,0.20852,1.77334,1.55607,1.02517,0.000548083,0.000548083,0.000548083
14,1510.37,1.84592,1.72669,1.04999,0.6707,0.32427,0.33609,0.21651,1.75764,1.52369,1.01906,0.000544757,0.000544757,0.000544757
15,1573.54,1.81063,1.69567,1.03692,0.65501,0.34984,0.36277,0.23691,1.72523,1.50856,1.02412,0.00054143,0.00054143,0.00054143
16,1629.13,1.83539,1.70717,1.03992,0.63932,0.34298,0.37044,0.24584,1.71665,1.49694,1.00928,0.000538104,0.000538104,0.000538104
17,1684.98,1.80189,1.65259,1.03088,0.53239,0.36707,0.39265,0.25565,1.71944,1.43429,1.01252,0.000534778,0.000534778,0.000534778
18,1744.99,1.79281,1.61434,1.02699,0.64061,0.36276,0.38671,0.25259,1.7212,1.44415,1.02074,0.000531451,0.000531451,0.000531451
19,1804.22,1.81062,1.60102,1.03467,0.48681,0.35412,0.39744,0.26673,1.68278,1.40672,1.01299,0.000528125,0.000528125,0.000528125
20,2095.98,1.79335,1.59803,1.028,0.58089,0.36144,0.39292,0.25762,1.69523,1.45562,1.00861,0.000524798,0.000524798,0.000524798
21,2164.2,1.77329,1.57254,1.01965,0.51823,0.39579,0.41203,0.27198,1.6863,1.4087,1.00345,0.000521472,0.000521472,0.000521472
22,2231.05,1.7912,1.55146,1.01631,0.5192,0.44284,0.45051,0.3032,1.68352,1.37478,1.00534,0.000518146,0.000518146,0.000518146
23,2298.22,1.77103,1.51317,1.02324,0.54635,0.45088,0.46171,0.31492,1.64575,1.34179,0.99907,0.000514819,0.000514819,0.000514819
24,2358.64,1.74197,1.51292,1.00902,0.72987,0.41342,0.45946,0.29934,1.7177,1.35223,1.00679,0.000511493,0.000511493,0.000511493
25,2451.78,1.75839,1.47175,1.01098,0.61996,0.44038,0.46875,0.31614,1.64285,1.32575,0.99934,0.000508166,0.000508166,0.000508166
26,2626.73,1.73294,1.46783,1.00845,0.64848,0.4198,0.47232,0.32268,1.64489,1.35155,0.99571,0.00050484,0.00050484,0.00050484
27,2703.98,1.73766,1.4711,1.00668,0.53408,0.47522,0.48656,0.33438,1.628,1.32644,0.98693,0.000501514,0.000501514,0.000501514
28,2772.17,1.7334,1.45142,1.00741,0.48434,0.48622,0.48019,0.33281,1.69999,1.3418,1.00153,0.000498187,0.000498187,0.000498187
29,2895.57,1.73176,1.44939,1.01369,0.57448,0.47699,0.50071,0.33861,1.65521,1.31041,0.99684,0.000494861,0.000494861,0.000494861
30,2987.02,1.71905,1.41361,1.00905,0.53564,0.49616,0.51574,0.34764,1.65557,1.27623,0.99302,0.000491534,0.000491534,0.000491534
31,3049.42,1.70492,1.41447,0.99538,0.60584,0.4964,0.52393,0.35715,1.62124,1.27459,0.98899,0.000488208,0.000488208,0.000488208
32,3110.68,1.7218,1.39146,1.00331,0.59955,0.50911,0.52291,0.35358,1.61612,1.2787,0.98703,0.000484882,0.000484882,0.000484882
33,3179.56,1.72031,1.38787,0.99439,0.57758,0.50971,0.53207,0.36459,1.60473,1.25885,0.98273,0.000481555,0.000481555,0.000481555
34,3277.15,1.70582,1.38158,0.99334,0.61828,0.47928,0.51911,0.35229,1.62735,1.26677,0.98682,0.000478229,0.000478229,0.000478229
35,3359.03,1.6889,1.37032,1.00529,0.58192,0.52492,0.55166,0.3841,1.60832,1.2334,0.98861,0.000474902,0.000474902,0.000474902
